id;placed_date;status;code;invoice_id;customer_id
1;2023-05-17T09:32:40;COMPLETED;Electronics;57858;1
2;2023-05-17T13:10:40;CANCELLED;withdrawal virtual;42917;2
3;2023-05-16T20:13:00;COMPLETED;compress Soft cross-platform;960;2
4;2023-05-17T06:22:32;COMPLETED;Expanded;88753;1
5;2023-05-17T02:30:42;CANCELLED;Hat;10576;1
6;2023-05-17T03:09:28;PENDING;Regional harness Holy;55347;2
7;2023-05-16T19:10:15;COMPLETED;Decentralized Visionary;88231;1
8;2023-05-16T21:29:14;COMPLETED;Credit Soft Cotton;23331;2
9;2023-05-17T00:57:40;PENDING;Implemented;30578;1
10;2023-05-17T13:09:33;PENDING;solution protocol;72463;2
