id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2023-05-17T09:56:24;Loop;CANCELLED;PAYPAL;2023-05-17T04:16:49;22604
2;calculating;2023-05-17T10:24:47;haptic 1080p;ISSUED;PAYPAL;2023-05-16T21:38:27;10489
3;national Frozen Berkshire;2023-05-17T10:39:37;Account Borders Home;PAID;CREDIT_CARD;2023-05-17T01:22:28;36325
4;monitor;2023-05-16T20:42:13;parse intuitive Division;CANCELLED;PAYPAL;2023-05-16T22:17:14;13687
5;synergy transmitting;2023-05-16T20:44:28;parse Gloves;ISSUED;PAYPAL;2023-05-17T05:21:06;92472
6;function;2023-05-17T01:37:56;Fresh;CANCELLED;CASH_ON_DELIVERY;2023-05-17T12:44:57;26944
7;Maine;2023-05-17T12:04:19;RAM;ISSUED;PAYPAL;2023-05-17T17:06:11;32458
8;Analyst Agent;2023-05-17T15:59:01;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2023-05-17T13:00:43;79389
9;Salad;2023-05-16T22:07:43;Gorgeous;ISSUED;CREDIT_CARD;2023-05-17T06:54:07;62169
10;Pants Wooden Intuitive;2023-05-17T07:31:40;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2023-05-17T03:26:17;58737
